gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
FAM76A	735205	210	35	2413818	382374	0	2	1	0	42	64	28165590	9.735669e-01	1
CCDC43	1297937	254	27	1545264	275940	0	2	0	0	8	14	5132484	9.736029e-01	1
MAN1B1	1836975	202	38	4688352	961848	0	5	2	0	50	80	42002010	9.736086e-01	1
MSH4	146770	535	-10	6417576	1174716	0	14	5	0	28	66	21715164	9.736295e-01	1
MYOT	946917	396	47	3379608	638604	0	4	1	0	7	18	6897186	9.736551e-01	1
MLLT1	1294183	417	20	3786948	743724	0	5	3	0	50	92	33775056	9.736744e-01	1
HOXD3	245316	874	13	2793564	641232	0	3	4	0	16	20	9359622	9.737113e-01	1
ALDH1L1	203027	610	30	6093018	1257498	0	12	3	0	11	21	9434520	9.737329e-01	1
RND1	1655612	214	57	1574172	307476	0	2	2	0	9	24	6121926	9.737415e-01	1
HSF1	2525749	200	28	3550428	754236	0	4	1	0	22	89	34043112	9.737480e-01	1
POLR1E	523221	234	35	2911824	520344	0	4	4	0	5	16	5058900	9.737527e-01	1
RIMKLB	302894	262	17	2582010	521658	0	1	1	0	50	64	39222900	9.737609e-01	1
FAM63B	524797	311	28	4194288	793656	0	6	5	0	11	16	7179696	9.737991e-01	1
MTMR14	899035	348	39	4442634	879066	0	6	4	0	29	71	26818740	9.738014e-01	1
DPH1	1415256	294	27	2940732	691164	0	4	0	0	7	8	4533300	9.738022e-01	1
IFI16	97615	866	7	4995828	864612	0	3	1	0	40	46	31141800	9.738289e-01	1
GIMAP8	557261	584	38	4493880	798912	0	9	5	0	13	48	13820652	9.738368e-01	1
CD47	288227	650	5	2242998	427050	0	1	1	0	50	76	39010032	9.738483e-01	1
SLC27A1	930383	202	34	4233708	988128	0	10	0	0	8	14	5742180	9.738852e-01	1
LRRC46	1071489	214	29	2170728	441504	0	2	0	0	31	64	24056712	9.738962e-01	1
ANKRD45	432542	423	4	1856682	300906	0	2	1	0	2	2	1291662	9.739592e-01	1
PHOSPHO2	345692	393	35	1655640	268056	0	3	2	0	2	3	1412550	9.739758e-01	1
AVIL	1106109	238	40	5617350	1042002	0	6	1	0	23	35	15619518	9.739764e-01	1
C1orf35	702621	391	5	1812006	348210	0	2	1	0	50	82	31710762	9.739792e-01	1
DGCR2	474521	277	16	3689712	748980	0	4	0	0	6	0	2073492	9.739796e-01	1
ARHGEF15	772200	257	20	5346666	1449342	0	10	3	0	7	14	6610734	9.739897e-01	1
NT5M	900505	220	15	1512414	335070	0	1	2	0	12	38	13082184	9.740856e-01	1
TSPYL6	619188	448	9	2684502	555822	0	3	2	0	14	14	5777658	9.740892e-01	1
POLR2I	978272	326	6	918486	132714	0	1	1	0	32	78	19049058	9.741268e-01	1
C11orf91	NaN	NaN	NaN	1199682	340326	0	1	1	0	50	217	74183184	9.741368e-01	1
ATXN2L	1146511	221	56	7495056	1829088	0	10	4	0	16	39	19275066	9.741789e-01	1
SMG7	716427	385	25	8585676	1608336	0	9	2	0	7	7	6612048	9.742013e-01	1
EMILIN1	1214097	238	50	6391296	1700316	0	10	3	0	11	26	12965238	9.742418e-01	1
FBXO3	755929	424	15	3283686	566334	0	4	0	0	7	11	5772402	9.742430e-01	1
PPP1CC	796153	347	50	2253510	363978	0	2	1	0	50	103	36380718	9.742553e-01	1
ZNF669	379967	612	-15	3122064	575532	0	4	0	0	11	10	5221836	9.742668e-01	1
CES2	942986	142	34	4140414	894834	0	5	3	0	50	111	40356882	9.742879e-01	1
HSD17B12	432669	791	0	2139192	433620	0	5	2	0	2	2	1396782	9.742890e-01	1
PYROXD2	142644	581	4	3889440	861984	0	4	2	0	50	128	43407990	9.742976e-01	1
IL15RA	650283	305	32	1734480	441504	0	2	1	0	17	43	14973030	9.743289e-01	1
ANO9	2206786	344	58	5336154	1073538	0	12	6	0	16	46	17155584	9.743401e-01	1
RNF114	589377	181	48	1579428	283824	0	2	1	0	14	31	9946980	9.743433e-01	1
DDX41	1120311	347	41	4266558	818622	0	4	4	0	50	80	38150676	9.743493e-01	1
SNAPC4	1194160	258	28	9534384	2291616	0	16	4	0	20	27	13179420	9.743713e-01	1
FAM131A	1447013	268	44	2365200	580788	0	2	0	0	33	83	30532104	9.743805e-01	1
CARM1	2031768	193	35	4091796	867240	0	2	1	0	16	14	12025728	9.743922e-01	1
CHIA	398726	559	15	3269232	612324	0	13	5	0	3	6	1630674	9.743939e-01	1
SNRNP35	1090769	424	50	1663524	339012	0	1	1	0	50	93	42182028	9.744078e-01	1
FBXL14	333350	216	28	2671362	647802	0	5	4	0	3	14	4873626	9.744119e-01	1
NT5C2	562038	150	47	3965652	643860	0	5	0	0	12	20	8887896	9.744123e-01	1
GATM	465759	445	4	2875032	551880	0	5	2	0	12	23	8095554	9.744279e-01	1
BARHL2	82474	897	-4	2522880	562392	0	5	0	0	5	9	3612186	9.744290e-01	1
GSC2	487560	277	18	1269324	373176	0	1	0	0	50	80	36901062	9.744362e-01	1
CLEC2L	557910	522	32	1409922	327186	0	2	1	0	50	190	54109206	9.744379e-01	1
MRPL17	424776	548	8	1151064	257544	0	1	2	0	26	61	19632474	9.744608e-01	1
UBAC1	753354	352	37	2767284	528228	0	3	2	0	8	4	3359898	9.744712e-01	1
ARHGAP42	NaN	NaN	NaN	6094332	1051200	0	12	3	0	50	219	74894058	9.745020e-01	1
LRRC4	NaN	NaN	NaN	4189032	977616	0	7	3	0	50	219	74820474	9.745196e-01	1
RRP7A	969686	196	65	1894788	388944	0	2	2	0	28	40	16296228	9.745324e-01	1
ACTR3B	190917	535	5	2871090	547938	0	2	0	0	50	72	36690822	9.745445e-01	1
TANK	207004	370	26	2972268	541368	0	4	2	0	4	2	1766016	9.745471e-01	1
SLC22A25	1852481	572	32	3621384	783144	0	8	3	0	3	9	2601720	9.745556e-01	1
TLX2	1019591	315	50	1752876	515088	0	2	0	0	50	103	42251670	9.745805e-01	1
MYO3A	63308	873	-6	11257038	1838286	0	24	8	0	17	41	14281866	9.745877e-01	1
B3GNT5	NaN	NaN	NaN	2562300	425736	0	4	2	0	19	44	14861340	9.745956e-01	1
TRUB2	1813435	201	46	2200950	495378	0	1	1	0	50	72	40091454	9.745994e-01	1
SPATA5	100687	528	11	6010236	1200996	0	4	3	0	7	11	8346528	9.746007e-01	1
KCNA4	30326	940	-38	4319118	837018	0	14	3	0	1	3	1404666	9.746036e-01	1
TERF2	1197858	125	33	3361212	683280	0	3	0	0	23	53	20976696	9.746602e-01	1
HAS2	25994	485	-22	3702852	683280	0	2	2	0	31	43	19717884	9.746659e-01	1
RARS2	236344	534	28	4058946	716130	0	3	0	0	6	2	3487356	9.747209e-01	1
TOX2	639806	396	14	3591162	837018	0	4	2	0	39	71	29802834	9.747266e-01	1
SCN8A	575393	464	27	13486896	2404620	0	17	6	0	28	49	25414074	9.747355e-01	1
ZNF790	352375	976	-36	4468914	595242	0	3	1	0	7	22	12004704	9.747566e-01	1
HPDL	1010538	355	28	2298186	634662	0	2	0	0	12	20	8990388	9.747780e-01	1
ZDHHC16	556333	188	42	2545218	540054	0	3	1	0	40	73	28228662	9.748027e-01	1
ZNF843	NaN	NaN	NaN	2147076	604440	0	2	1	0	50	217	74447298	9.748070e-01	1
U2AF2	1077402	254	-10	3206160	662256	0	4	1	0	15	22	9739368	9.748468e-01	1
POLR3D	586506	193	43	2655594	574218	0	3	1	0	17	39	14309460	9.748708e-01	1
UBE4A	963668	192	48	7430670	1236474	0	11	2	0	50	95	39083616	9.748870e-01	1
NPAS3	24372	929	-23	6283548	1345536	0	11	5	0	15	28	10288620	9.749014e-01	1
PSMB8	1253457	401	26	2108970	492750	0	3	0	0	39	89	28670166	9.749071e-01	1
RASSF9	22408	552	-27	2986722	461214	0	2	2	0	50	101	37630332	9.749092e-01	1
COPS8	336171	411	17	1444086	285138	0	4	3	0	1	7	1662210	9.749355e-01	1
RIPK1	437184	268	41	4627908	764748	0	4	2	0	19	34	14753592	9.749390e-01	1
PPCDC	887844	262	43	1387584	281196	0	1	1	0	23	49	16042626	9.749553e-01	1
ZNF800	313691	807	-5	4508334	789714	0	4	2	0	20	41	17495910	9.749940e-01	1
C1orf131	383866	603	14	2024874	366606	0	1	0	0	18	17	9396414	9.749949e-01	1
ZNF546	1181917	521	22	5790798	860670	0	6	1	0	2	1	2382282	9.750166e-01	1
STXBP3	772267	191	9	4192974	676710	0	5	2	0	50	115	38791908	9.750240e-01	1
PWP2	879237	219	61	6206022	1262754	0	8	3	0	36	53	25940988	9.750340e-01	1
CBX4	647412	242	-2	3663432	801540	0	4	2	0	50	92	40832550	9.750459e-01	1
PRDM8	60915	903	-4	4388760	1082736	0	9	4	0	23	53	17150328	9.750485e-01	1
GOLGA5	360146	405	41	5035248	861984	0	5	1	0	50	89	44242380	9.750536e-01	1
SHOX2	162819	946	-8	2306070	553194	0	2	0	0	5	5	3714678	9.750631e-01	1
PILRB	1430637	204	54	1674036	165564	0	1	0	0	50	89	34551630	9.750830e-01	1
DNAJC1	197451	608	2	3793518	697734	0	4	2	0	31	69	22926672	9.750888e-01	1
ALKBH6	980636	320	19	1754190	419166	0	2	1	0	4	10	4651560	9.750960e-01	1
ADRA2A	285613	547	-1	2888172	785772	0	5	4	0	50	83	32380902	9.751399e-01	1
ZNF268	334913	834	6	1342908	204984	0	4	1	0	1	2	802854	9.751584e-01	1
ALDH1A3	378556	374	0	3457134	713502	0	2	1	0	50	67	33939306	9.752336e-01	1
HLF	147479	526	-54	1978884	386316	0	4	1	0	50	117	31445334	9.752573e-01	1
FZD2	1261037	254	16	3600360	861984	0	8	2	0	50	163	48717864	9.752652e-01	1
CST1	160568	881	-48	964476	181332	0	2	2	0	4	5	1571544	9.752898e-01	1
TIA1	667934	164	33	2698956	478296	0	1	0	0	9	13	7668504	9.752963e-01	1
TRABD	944000	242	49	2512368	554508	0	3	3	0	19	52	18997812	9.753252e-01	1
IGDCC3	646843	280	40	5225778	1336338	0	11	4	0	3	8	3572766	9.753276e-01	1
NHEJ1	798168	177	37	2053782	379746	0	2	2	0	7	11	5090436	9.753510e-01	1
C20orf194	1015129	338	40	8247978	1423062	0	11	6	0	50	111	40657788	9.753653e-01	1
ZNF597	1361831	303	29	2936790	445446	0	2	2	0	50	109	40618368	9.754238e-01	1
TNFSF12	NaN	NaN	NaN	1618848	425736	0	4	3	0	8	35	7859034	9.754389e-01	1
ZNF408	965022	176	48	4696236	1114272	0	6	2	0	50	75	34284888	9.754498e-01	1
PKN2	280301	449	0	6801264	1185228	0	9	3	0	50	114	44134632	9.754551e-01	1
TINF2	915114	220	38	2985408	667512	0	2	1	0	50	79	40398930	9.754766e-01	1
RAB19	359405	521	24	1474308	281196	0	4	1	0	3	5	1625418	9.754979e-01	1
OR5C1	433740	487	10	2001222	526914	0	1	1	0	50	71	35241480	9.755215e-01	1
NLRP14	418263	881	-4	7580466	1160262	0	8	0	0	2	0	2132622	9.755713e-01	1
IRF9	974559	220	41	2651652	536112	0	2	0	0	15	26	12994146	9.755969e-01	1
KRTAP25-1	NaN	NaN	NaN	713502	109062	0	3	2	0	1	9	894834	9.756285e-01	1
FAM20B	352872	244	1	2747574	547938	0	2	0	0	8	16	8007516	9.756473e-01	1
PCMT1	424800	234	40	1935522	398142	0	1	0	0	22	33	12460662	9.756473e-01	1
PKD1L1	239031	377	12	19054314	4003758	0	32	10	0	5	10	6224418	9.756799e-01	1
CFD	2168802	198	28	1621476	428364	0	3	3	0	14	31	10456812	9.756860e-01	1
AHCYL2	776656	420	44	4437378	871182	0	4	1	0	50	75	42411978	9.756909e-01	1
SLC12A6	498240	193	16	7997004	1645128	0	10	7	0	22	39	17560296	9.757127e-01	1
RNF169	620831	160	37	4605570	1042002	0	5	1	0	13	20	10954818	9.757159e-01	1
FOXRED1	385871	426	29	3242952	706932	0	4	3	0	5	7	3811914	9.757361e-01	1
TAF1D	290677	527	0	1957860	294336	0	1	0	0	50	94	36196758	9.757370e-01	1
ZNF248	142662	979	-22	4061574	553194	0	8	3	0	4	3	1685862	9.757398e-01	1
KNTC1	917926	215	37	15510456	2575440	0	15	0	0	0	0	2575440	9.757487e-01	1
PLBD2	442841	251	37	3920976	851472	0	6	2	0	15	25	10508058	9.757689e-01	1
DNMBP	1100254	221	32	10538280	2070864	0	17	4	0	2	7	4237650	9.757952e-01	1
H2AFX	1390854	195	58	881694	258858	0	1	2	0	4	10	3864474	9.758058e-01	1
YARS	1339617	195	26	3614814	681966	0	3	2	0	43	103	38046870	9.758060e-01	1
KATNAL2	120136	561	12	3241638	587358	0	2	1	0	50	74	41322672	9.758104e-01	1
ALG10	23464	1025	-29	3185136	572904	0	1	0	0	10	6	6983910	9.758221e-01	1
RNF20	112827	872	-13	6819660	1074852	0	6	1	0	12	22	16958484	9.758442e-01	1
TRMU	493681	260	39	2906568	525600	0	5	0	0	3	7	3216672	9.758535e-01	1
UBQLN3	99343	946	-2	4187718	994698	0	7	4	0	4	9	3784320	9.758942e-01	1
TAOK1	822855	224	26	6965514	1133982	0	9	3	0	30	56	23161878	9.759014e-01	1
TCEA2	1092168	208	49	2031444	428364	0	2	1	0	50	132	41590728	9.759143e-01	1
ZNF562	776094	617	-51	2947302	471726	0	2	0	0	24	102	39588192	9.759161e-01	1
C20orf195	1262904	298	54	2053782	476982	0	4	2	0	27	73	19018836	9.759219e-01	1
FANCD2	885389	170	41	10476522	1788354	0	13	0	0	1	1	2317896	9.759238e-01	1
PPP1R12C	1036976	266	-1	5128542	1270638	0	12	4	0	3	6	3120750	9.759464e-01	1
SNAI1	575200	181	51	1723968	391572	0	1	0	0	50	91	38233458	9.759481e-01	1
POGZ	1356854	163	37	9324144	2018304	0	10	5	0	50	119	54301050	9.759525e-01	1
SMCR8	957114	254	9	6240186	1165518	0	8	6	0	10	15	7120566	9.759704e-01	1
KIAA0232	500642	179	50	9439776	1639872	0	11	4	0	21	27	14436918	9.759708e-01	1
PSKH1	879834	158	50	2710782	660942	0	3	3	0	15	28	12988890	9.759891e-01	1
LONP2	200017	467	-14	5698818	1178658	0	7	3	0	30	40	18344754	9.759986e-01	1
PPIE	975799	388	39	2374398	387630	0	2	1	0	50	83	34204734	9.760159e-01	1
WNT6	1087669	386	42	2316582	600498	0	2	1	0	50	73	35295354	9.760190e-01	1
KDSR	201946	278	77	2244312	475668	0	3	2	0	32	73	26218242	9.760451e-01	1
SLC41A1	717622	377	37	3321792	825192	0	8	2	0	4	8	2723922	9.760570e-01	1
GRAP2	842645	411	34	2265336	417852	0	5	0	0	5	12	4319118	9.760586e-01	1
BLVRB	1010633	202	34	1333710	340326	0	1	1	0	50	103	34838082	9.760992e-01	1
C10orf95	871726	178	41	1536066	513774	0	7	3	0	5	14	3302082	9.761097e-01	1
NFS1	1423559	169	53	3060306	687222	0	6	0	0	2	7	2936790	9.761132e-01	1
NANOS3	754888	241	31	1216764	315360	0	2	1	0	1	3	1834344	9.761161e-01	1
PCYT2	3798594	211	19	2800134	553194	0	3	0	0	24	28	12669588	9.761259e-01	1
WDR59	724091	165	28	6675120	1279836	0	10	4	0	11	18	8552826	9.761424e-01	1
MRPL28	1549307	207	37	1730538	348210	0	1	0	0	50	111	50080482	9.761516e-01	1
HLX	177316	564	-2	3129948	756864	0	7	5	0	4	7	2877660	9.761628e-01	1
AZI1	1748003	243	28	7265106	1520298	0	14	5	0	50	121	44141202	9.761674e-01	1
ZDHHC11	843639	408	28	2829042	553194	0	1	1	0	50	95	47311884	9.761688e-01	1
ZNF615	444655	838	-57	5039190	763434	0	7	4	0	50	75	28090692	9.761846e-01	1
SULT1A2	1141256	269	53	2044584	367920	0	3	3	0	8	7	3115494	9.761876e-01	1
SERTAD3	1010633	202	34	1270638	293022	0	2	3	0	4	16	4133844	9.762138e-01	1
AKT1	711772	247	36	3329676	599184	0	3	1	0	50	71	34905096	9.762141e-01	1
TKT	782559	192	54	4220568	846216	0	12	5	0	15	48	11741904	9.762142e-01	1
CAB39	503356	395	29	2433528	346896	0	3	1	0	18	57	17218656	9.762179e-01	1
HOXB8	946208	524	29	1625418	308790	0	1	0	0	50	79	33688332	9.762865e-01	1
SOX9	159643	606	-41	3333618	708246	0	10	4	0	22	70	17808642	9.762903e-01	1
P4HA1	539936	354	44	3896010	666198	0	2	1	0	14	23	13296366	9.762960e-01	1
SNX19	130522	523	7	6493788	1440144	0	12	6	0	5	8	4849974	9.763111e-01	1
SENP3	1957426	194	24	3810600	830448	0	2	2	0	10	10	7898454	9.763175e-01	1
RAB15	521616	387	35	1436202	279882	0	1	1	0	50	105	38095488	9.763307e-01	1
ALOX15B	1528802	272	26	4503078	971046	0	5	2	0	2	7	3827682	9.763341e-01	1
SH3BP5L	411701	567	-4	2571498	587358	0	4	2	0	50	91	32298120	9.763411e-01	1
PRMT2	530282	377	28	2988036	538740	0	5	4	0	9	17	5443902	9.763459e-01	1
PIGV	1022828	188	30	3198276	727956	0	5	1	0	50	112	36127116	9.763497e-01	1
PIK3CD	533533	204	35	7089030	1381014	0	10	5	0	40	82	30641166	9.763812e-01	1
CCNYL1	330620	210	26	2509740	423108	0	4	1	0	4	1	1833030	9.764068e-01	1
ELMOD1	300861	676	-3	2394108	362664	0	1	2	0	43	62	24475878	9.764224e-01	1
PI4K2B	218037	523	28	3315222	579474	0	2	0	0	7	2	3700224	9.764270e-01	1
SLC24A4	368522	642	27	4115448	835704	0	10	3	0	4	14	5280966	9.764316e-01	1
SEMA4D	163051	596	34	7014132	1419120	0	8	3	0	11	18	12196548	9.764494e-01	1
ICAM2	1455216	404	25	1825146	392886	0	1	1	0	50	85	35664588	9.764568e-01	1
KRT31	1321356	424	-6	2813274	542682	0	6	1	0	10	37	9929898	9.764770e-01	1
HDAC9	65395	684	-6	7600176	1445400	0	8	4	0	43	74	36154710	9.764851e-01	1
P4HA2	371617	246	35	3822426	718758	0	3	2	0	50	74	34288830	9.765158e-01	1
TOR2A	1098647	172	32	2542590	482238	0	4	1	0	50	95	33579270	9.765181e-01	1
UCP3	523442	225	51	2062980	473040	0	2	3	0	15	32	10945620	9.765325e-01	1
BTD	433102	235	32	3631896	691164	0	2	3	0	28	39	17555040	9.765336e-01	1
NCR3	2517285	220	35	1537380	404712	0	1	0	0	4	0	1266696	9.765367e-01	1
TMEM98	443753	833	-6	1508472	344268	0	1	1	0	50	107	36083754	9.765441e-01	1
RORA	231490	883	13	4693608	804168	0	5	2	0	50	84	36429336	9.765706e-01	1
ANKRD27	369667	455	-38	7246710	1333710	0	14	6	0	15	30	10459440	9.765852e-01	1
MMP28	647610	144	6	3415086	794970	0	2	0	0	7	12	11303028	9.765862e-01	1
TECTB	170055	567	-5	2302128	394200	0	1	0	0	35	51	26255034	9.765994e-01	1
ACTR3	402980	629	15	2894742	524286	0	2	1	0	50	85	38933820	9.766200e-01	1
RASSF6	351984	573	28	2624058	403398	0	6	2	0	5	12	3382236	9.766498e-01	1
TADA2A	520126	171	25	3384864	522972	0	2	0	0	50	86	38134908	9.766515e-01	1
HOXC5	1185281	279	54	1487448	286452	0	1	0	0	50	101	36378090	9.766546e-01	1
SLC22A10	1307417	572	17	3575394	792342	0	5	1	0	4	1	2140506	9.766648e-01	1
CLCA4	279475	692	-14	6215220	1179972	0	7	2	0	5	7	4170636	9.766753e-01	1
UGT2B28	21304	997	-3	3602988	633348	0	3	3	0	18	19	10538280	9.767433e-01	1
GUSB	434728	365	31	4380876	875124	0	4	2	0	27	38	17644392	9.767787e-01	1
KIF14	361992	370	7	11450196	1844856	0	12	5	0	26	33	19020150	9.767978e-01	1
DOCK7	222018	474	4	14528898	2616174	0	25	6	0	8	23	10852326	9.767988e-01	1
ACTL6A	399933	477	11	3005118	532170	0	2	3	0	14	16	7806474	9.767989e-01	1
NOTO	NaN	NaN	NaN	1591254	416538	0	1	2	0	19	44	14852142	9.767998e-01	1
MORC3	281776	347	63	6563430	1020978	0	5	1	0	18	19	14641902	9.768265e-01	1
SLC41A3	210410	610	32	3953826	942138	0	3	0	0	2	0	1759446	9.768376e-01	1
NEDD9	228484	418	30	5725098	1136610	0	4	2	0	18	37	22286754	9.768391e-01	1
PUS3	611330	414	14	3261348	570276	0	3	1	0	25	40	17992602	9.768569e-01	1
REN	557652	370	34	2738376	570276	0	4	3	0	9	19	6315084	9.769078e-01	1
SEPN1	746382	372	24	3938058	852786	0	4	3	0	4	3	2542590	9.769341e-01	1
CPO	169586	723	2	2580696	470412	0	10	4	0	2	6	1525554	9.769352e-01	1
GPR142	362227	433	-8	2934162	747666	0	5	0	0	1	1	1536066	9.769359e-01	1
TWF1	132402	425	-5	2650338	474354	0	1	1	0	50	91	39669660	9.769371e-01	1
OR10C1	404210	854	21	1939464	525600	0	2	2	0	6	9	4114134	9.769560e-01	1
EIF2S1	484235	291	32	2197008	365292	0	1	1	0	50	72	32696262	9.769655e-01	1
WDR18	2292363	206	44	2857950	655686	0	1	1	0	50	70	39494898	9.769730e-01	1
RPUSD3	953772	264	43	2267964	596556	0	1	1	0	50	123	51373458	9.770181e-01	1
PAPD5	294222	418	24	4687038	955278	0	5	0	0	18	20	11691972	9.770301e-01	1
FANCF	52076	970	-4	2383596	578160	0	1	2	0	49	70	32725170	9.770493e-01	1
MAP6D1	1441187	410	25	1241730	361350	0	1	0	0	50	107	35324262	9.770514e-01	1
SLC9A8	649593	165	52	3956454	789714	0	4	1	0	50	69	30533418	9.771338e-01	1
NXN	941400	376	15	2867148	649116	0	7	3	0	6	12	3666060	9.771779e-01	1
PLEKHN1	1971475	239	15	4069458	1013094	0	10	4	0	18	72	20797992	9.772191e-01	1
OR3A3	365088	515	14	2038014	498006	0	1	0	0	46	84	38995578	9.772296e-01	1
ELMO1	63863	859	16	5135112	825192	0	4	4	0	9	4	4811868	9.772590e-01	1
PCBP4	1029408	224	38	2616174	695106	0	2	1	0	50	75	30892140	9.772764e-01	1
NSFL1C	397239	386	42	2520252	488808	0	5	2	0	3	7	2918394	9.772793e-01	1
CHRNE	1416161	231	30	3267918	758178	0	4	1	0	15	29	14053230	9.773048e-01	1
SEMA6D	140187	583	-58	7341318	1423062	0	20	7	0	20	62	14631390	9.773145e-01	1
SLFN11	761918	456	11	6048342	1105074	0	6	0	0	8	6	5142996	9.773148e-01	1
SENP5	766452	258	33	5237604	817308	0	5	0	0	23	46	20736234	9.773163e-01	1
FAM102B	615760	313	-3	2490030	466470	0	2	0	0	50	119	45975546	9.773236e-01	1
OR5H14	200002	811	-15	2049840	402084	0	2	4	0	6	7	2752830	9.773388e-01	1
GRAMD1A	821282	419	-46	4873626	1042002	0	14	6	0	33	96	22117248	9.773425e-01	1
TTC38	519654	205	31	3223242	624150	0	4	3	0	18	34	13375206	9.773492e-01	1
C1orf65	368078	600	-10	4072086	850158	0	16	7	0	7	13	3642408	9.773689e-01	1
C11orf63	675003	416	7	5488578	900090	0	7	3	0	44	89	28654398	9.773806e-01	1
SETDB1	1688656	172	31	8711820	1695060	0	7	1	0	3	2	3721248	9.773816e-01	1
LRFN4	NaN	NaN	NaN	3863160	1161576	0	7	3	0	50	219	75004434	9.774040e-01	1
CHST6	488582	225	6	2434842	697734	0	5	3	0	12	25	8869500	9.774044e-01	1
RBM11	99517	964	-30	1939464	331128	0	1	0	0	26	68	21719106	9.774150e-01	1
CNOT7	237338	387	4	2020932	307476	0	1	1	0	33	44	19223820	9.774354e-01	1
CDKL3	910029	148	49	4162752	643860	0	3	1	0	14	22	10489662	9.774419e-01	1
TMPRSS11B	170820	716	-19	2873718	508518	0	2	0	0	7	15	8183592	9.774427e-01	1
ACOT8	742720	180	48	2172042	442818	0	1	2	0	29	26	15591924	9.774452e-01	1
POLK	253484	500	54	6089076	925056	0	5	0	0	7	7	5491206	9.774489e-01	1
PSMA4	505832	375	46	1864566	285138	0	1	1	0	50	105	38609262	9.774990e-01	1
PYGO2	1612870	224	35	2560986	668826	0	2	2	0	50	81	34918236	9.775074e-01	1
PLIN4	2111443	278	43	8349156	2409876	0	12	6	0	25	42	20855808	9.775102e-01	1
ORAI1	720229	228	56	1940778	466470	0	4	3	0	4	12	4342770	9.775170e-01	1
CORIN	113961	622	44	7295328	1153692	0	7	5	0	17	16	10151964	9.775312e-01	1
MRGPRE	583782	421	36	1940778	534798	0	3	3	0	15	51	12440952	9.775337e-01	1
SGTA	1354357	291	25	2199636	391572	0	7	3	0	3	7	2120796	9.775621e-01	1
APTX	833170	286	-5	2497914	419166	0	1	0	0	31	41	22500936	9.776791e-01	1
TSEN2	352597	317	36	3303396	583416	0	2	3	0	9	9	5722470	9.776819e-01	1
LITAF	649939	209	30	1254870	285138	0	1	2	0	17	34	10705158	9.776967e-01	1
LRRC69	NaN	NaN	NaN	2415132	407340	0	2	0	0	50	216	74250198	9.777027e-01	1
LONRF1	119955	694	3	5165334	1057770	0	5	2	0	50	63	33580584	9.777230e-01	1
HAX1	1653296	236	29	1898730	371862	0	1	0	0	50	102	44288370	9.777334e-01	1
CCDC47	1259976	346	12	3443994	498006	0	3	0	0	7	15	6945804	9.777549e-01	1
WDR38	1125524	207	41	2103714	469098	0	3	2	0	19	38	11094102	9.778012e-01	1
CYP4F3	852124	605	29	3545172	685908	0	5	4	0	4	4	2664792	9.778071e-01	1
RNF24	683635	170	33	1222020	181332	0	1	1	0	8	22	6283548	9.778393e-01	1
PARP3	1013177	370	39	3704166	676710	0	3	3	0	50	88	37467396	9.778404e-01	1
TSPYL4	260690	640	16	2683188	593928	0	2	0	0	11	13	8479242	9.778712e-01	1
IRAK4	132735	558	-16	3211416	538740	0	2	1	0	15	17	12627540	9.778922e-01	1
PLAG1	343641	552	19	3345444	614952	0	4	2	0	5	3	2599092	9.779094e-01	1
CSNK1G2	1944774	239	36	2844810	540054	0	2	1	0	50	82	43088688	9.779337e-01	1
GMPR2	915114	220	38	2475576	501948	0	1	0	0	49	74	39894354	9.779480e-01	1
PTPN7	649164	297	34	2659536	578160	0	2	1	0	7	11	7140276	9.779516e-01	1
SLC39A3	1354357	291	25	2202264	570276	0	1	1	0	50	99	40540842	9.779727e-01	1
AOAH	247838	600	15	4873626	776574	0	10	4	0	5	12	4299408	9.779761e-01	1
PSMB5	1251074	185	39	1894788	441504	0	1	0	0	50	92	41527656	9.779866e-01	1
CCNI	394078	520	52	2570184	473040	0	2	0	0	3	0	1416492	9.780188e-01	1
LUM	23173	523	-18	2287674	406026	0	1	0	0	50	84	37162548	9.780267e-01	1
GLYCTK	1113485	229	49	3379608	793656	0	5	3	0	9	22	7211232	9.780366e-01	1
ZNF839	1615110	214	35	5970816	1424376	0	12	3	0	50	86	35131104	9.780420e-01	1
ZNF236	124234	597	17	12557898	2311326	0	13	7	0	20	20	13521060	9.780544e-01	1
MED8	1088321	252	27	2065608	399456	0	1	0	0	50	100	42866622	9.780700e-01	1
ATXN7L1	406187	454	33	5811822	1344222	0	6	1	0	17	22	12471174	9.780850e-01	1
CLUAP1	805495	246	39	2936790	442818	0	5	3	0	5	8	3405888	9.780974e-01	1
DHODH	438866	372	19	2567556	643860	0	4	2	0	4	16	5158764	9.781412e-01	1
GORASP1	213514	500	30	2896056	670140	0	4	3	0	5	18	5484636	9.781520e-01	1
PFKFB3	560233	399	38	3634524	667512	0	7	4	0	6	12	4609512	9.781544e-01	1
MBD2	98718	437	6	3126006	734526	0	1	0	0	4	0	4195602	9.781739e-01	1
RXRG	291474	623	-10	3228498	668826	0	3	3	0	15	31	12351600	9.781757e-01	1
MLH1	392784	473	21	5210010	947394	0	5	2	0	50	110	53578350	9.781762e-01	1
AASDHPPT	86519	753	-16	2123424	373176	0	4	2	0	5	10	3233754	9.781843e-01	1
ZNF878	975609	728	-8	3960396	646488	0	3	1	0	50	121	44771922	9.781978e-01	1
